,Date,Customer Type,Delivery Type,Device Type,Revenue,before vs book,book vs select,select vs order,before vs order
0,2017-09-01,Existing,Store Collection,Desktop ,379289.0,-0.014460285132382893,-0.10270717090307915,-0.02233993551358821,-0.1354378818737271
1,2017-09-01,New,Home Delivery,Desktop ,311501.0,-0.06382022471910112,-0.13394143062890063,-0.028824833702882482,-0.21258426966292135
2,2017-09-01,New,Store Collection,Desktop ,36074.0,-0.018480492813141684,-0.05439330543933055,-0.03761061946902655,-0.10677618069815195
3,2017-09-01,New,Home Delivery,Mobile ,17452.0,-0.13819095477386933,-0.20699708454810495,-0.04044117647058824,-0.3442211055276382
4,2017-09-01,Existing,Store Collection,Mobile ,360265.0,-0.07249466950959488,-0.11347962382445141,-0.04314002828854314,-0.21321961620469082
5,2017-09-01,Existing,Home Delivery,Mobile ,1608022.0,-0.06762295081967214,-0.03436076119002948,-0.04402131675363606,-0.13929428228708515
6,2017-09-01,Existing,Home Delivery,Desktop ,1652713.0,-0.043977333268755754,-0.02948477633112113,-0.05736806389309391,-0.1253935196396571
7,2017-09-01,New,Store Collection,Mobile ,3112.0,-0.11864406779661017,-0.038461538461538464,-0.08,-0.22033898305084745
8,2017-09-02,Existing,Store Collection,Mobile ,350621.0,-0.038630027877339705,-0.15948632974316487,-0.05027106949236077,-0.23257666268418956
9,2017-09-02,Existing,Home Delivery,Desktop ,1711522.0,-0.04812886749828111,-0.038747291301207305,-0.009929687080671998,-0.09409684706806797
10,2017-09-02,Existing,Store Collection,Desktop ,361158.0,-0.06896551724137931,-0.07216931216931217,-0.024406934306569344,-0.15724137931034482
11,2017-09-02,New,Home Delivery,Mobile ,17998.0,-0.08928571428571429,-0.23809523809523808,-0.007352941176470588,-0.3112244897959184
12,2017-09-02,Existing,Home Delivery,Mobile ,1662204.0,-0.03073561544064093,-0.11707243763149985,-0.02530496453900709,-0.16586550133527556
13,2017-09-02,New,Home Delivery,Desktop ,297092.0,-0.010796221322537112,-0.12528422010004547,-0.0501689628281778,-0.17813765182186234
